CAR,TYPE,MSG0,MSG1,MSG2,MSG3,MSG4,MSG5,TIME
2,0,82,84,96,80,8C,63,29:56:346
3,0,83,A1,FF,C0,85,67,29:56:506
1,3,B1,A0,80,80,80,6E,29:56:516
10,3,BA,A2,80,80,80,67,29:56:636
2,3,B2,80,80,80,80,4D,29:56:646
2,7,F2,86,80,80,80,0B,29:56:646
3,3,B3,E0,80,80,80,2C,29:56:696
1,0,81,A1,FF,C0,81,61,29:56:717
1,5,D1,CA,E4,8F,80,0F,29:56:777
1,5,D1,CA,E5,99,80,18,29:56:777
1,5,D1,CA,E6,AE,80,2C,29:56:787
1,5,D1,CA,E7,80,80,03,29:56:787
1,5,D1,CA,E8,95,80,19,29:56:787
2,0,82,A1,FF,C0,8C,6F,29:56:847
1,7,F1,9F,80,80,80,11,29:56:847
3,0,83,84,96,80,85,6B,29:57:17
10,3,BA,A3,80,80,80,66,29:57:37
1,0,81,84,96,80,81,6D,29:57:197
2,0,82,84,96,80,8C,63,29:57:357
3,0,83,A1,FF,C0,85,67,29:57:518
10,3,BA,80,80,80,80,45,29:57:538
1,0,81,A1,FF,C0,81,61,29:57:698
1,3,B1,C0,80,80,80,0E,29:57:808
2,0,82,A1,FF,C0,8C,6F,29:57:858
2,3,B2,A0,80,80,80,6D,29:57:968
3,0,83,84,96,80,85,6B,29:58:18
3,3,B3,80,80,80,80,4C,29:58:18
3,7,F3,86,80,80,80,0A,29:58:28
10,3,BA,A1,80,80,80,64,29:58:38
1,0,81,84,96,80,81,6D,29:58:209
2,0,82,84,96,80,8C,63,29:58:359
3,0,83,A1,FF,C0,85,67,29:58:519
10,3,BA,A2,80,80,80,67,29:58:539
1,0,81,A1,FF,C0,81,61,29:58:699
2,0,82,A1,FF,C0,8C,6F,29:58:870
3,0,83,84,96,80,85,6B,29:59:20
10,3,BA,A3,80,80,80,66,29:59:40
1,3,B1,E0,80,80,80,2E,29:59:150
1,0,81,84,96,80,81,6D,29:59:210
2,3,B2,C0,80,80,80,0D,29:59:270
2,5,D2,CA,E4,90,80,13,29:59:270
2,5,D2,CA,E5,99,80,1B,29:59:280
2,5,D2,CA,E6,AE,80,2F,29:59:280
3,3,B3,A0,80,80,80,6C,29:59:290
2,5,D2,CA,E7,80,80,00,29:59:290
2,5,D2,CA,E8,95,80,1A,29:59:290
2,0,82,84,96,80,8C,63,29:59:390
2,7,F2,9F,80,80,80,12,29:59:460
3,0,83,A1,FF,C0,85,67,29:59:511
1,7,F1,A4,80,81,80,2B,29:59:521
10,3,BA,80,80,80,80,45,29:59:641
1,0,81,A1,FF,C0,81,61,29:59:761
2,0,82,A1,FF,C0,8C,6F,29:59:871
3,0,83,84,96,80,85,6B,29:59:981
10,3,BA,A1,80,80,80,64,30:0:141
2,7,F2,A4,80,85,80,2C,30:0:192
1,0,81,84,96,80,81,6D,30:0:252
3,5,D3,CA,E4,8F,80,0D,30:0:312
3,5,D3,CA,E5,99,80,1A,30:0:312
3,5,D3,CA,E6,AD,80,2D,30:0:322
3,5,D3,CA,E7,80,80,01,30:0:322
3,5,D3,CA,E8,95,80,1B,30:0:322
3,7,F3,9F,80,80,80,13,30:0:342
2,0,82,84,96,80,8C,63,30:0:402
1,3,B1,80,80,80,80,4E,30:0:472
1,7,F1,86,80,80,80,08,30:0:472
3,0,83,A1,FF,C0,85,67,30:0:522
10,3,BA,A2,80,80,80,67,30:0:552
2,3,B2,E0,80,80,80,2D,30:0:602
3,3,B3,C0,80,80,80,0C,30:0:602
1,0,81,A1,FF,C0,81,61,30:0:722
2,0,82,A1,FF,C0,8C,6F,30:0:943
3,0,83,84,96,80,85,6B,30:1:3
10,3,BA,A3,80,80,80,66,30:1:143
1,0,81,84,96,80,81,6D,30:1:253
1,5,D1,CA,E4,8F,80,0F,30:1:363
1,5,D1,CA,E5,99,80,18,30:1:363
1,5,D1,CA,E6,AE,80,2C,30:1:363
1,5,D1,CA,E7,80,80,03,30:1:373
1,5,D1,CA,E8,95,80,19,30:1:383
2,0,82,84,96,80,8C,63,30:1:423
3,0,83,A1,FF,C0,85,67,30:1:483
1,7,F1,9F,80,80,80,11,30:1:513
10,3,BA,80,80,80,80,45,30:1:644
1,0,81,A1,FF,C0,81,61,30:1:754
1,3,B1,A0,80,80,80,6E,30:1:754
2,0,82,A1,FF,C0,8C,6F,30:1:914
3,3,B3,E0,80,80,80,2C,30:1:914
2,3,B2,80,80,80,80,4D,30:1:924
2,7,F2,86,80,80,80,0B,30:1:924
3,0,83,84,96,80,85,6B,30:2:24
10,3,BA,A1,80,80,80,64,30:2:44
1,0,81,84,96,80,81,6D,30:2:254
2,0,82,84,96,80,8C,63,30:2:415
3,0,83,A1,FF,C0,85,67,30:2:525
10,3,BA,A2,80,80,80,67,30:2:545
1,0,81,A1,FF,C0,81,61,30:2:755
2,0,82,A1,FF,C0,8C,6F,30:2:915
3,0,83,84,96,80,85,6B,30:3:26
1,3,B1,C0,80,80,80,0E,30:3:86
10,3,BA,A3,80,80,80,66,30:3:96
3,3,B3,80,80,80,80,4C,30:3:216
3,7,F3,86,80,80,80,0A,30:3:216
2,3,B2,A0,80,80,80,6D,30:3:226
1,0,81,84,96,80,81,6D,30:3:286
2,0,82,84,96,80,8C,63,30:3:466
3,0,83,A1,FF,C0,85,67,30:3:516
10,3,BA,80,80,80,80,45,30:3:646
1,0,81,A1,FF,C0,81,61,30:3:767
2,5,D2,CA,E4,90,80,13,30:3:877
2,5,D2,CA,E5,99,80,1B,30:3:877
2,5,D2,CA,E6,AE,80,2F,30:3:877
2,5,D2,CA,E7,80,80,00,30:3:887
2,5,D2,CA,E8,95,80,1A,30:3:897
2,7,F2,9F,80,80,80,12,30:3:907
3,7,F3,A4,80,83,80,2B,30:3:907
2,0,82,A1,FF,C0,8C,6F,30:3:967
3,0,83,84,96,80,85,6B,30:4:17
10,3,BA,A1,80,80,80,64,30:4:147
1,0,81,84,96,80,81,6D,30:4:267
1,3,B1,E0,80,80,80,2E,30:4:378
2,0,82,84,96,80,8C,63,30:4:428
2,3,B2,C0,80,80,80,0D,30:4:538
3,0,83,A1,FF,C0,85,67,30:4:538
3,3,B3,A0,80,80,80,6C,30:4:538
10,3,BA,A2,80,80,80,67,30:4:548
1,0,81,A1,FF,C0,81,61,30:4:788
3,5,D3,CA,E4,8F,80,0D,30:4:848
3,5,D3,CA,E5,99,80,1A,30:4:848
3,5,D3,CA,E6,AD,80,2D,30:4:858
3,5,D3,CA,E7,80,80,01,30:4:858
3,5,D3,CA,E8,95,80,1B,30:4:868
3,7,F3,9F,80,80,80,13,30:4:958
2,0,82,A1,FF,C0,8C,6F,30:4:978
3,0,83,84,96,80,85,6B,30:5:28
10,3,BA,A3,80,80,80,66,30:5:48
1,0,81,84,96,80,81,6D,30:5:309
2,0,82,84,96,80,8C,63,30:5:479
3,0,83,A1,FF,C0,85,67,30:5:539
10,3,BA,80,80,80,80,45,30:5:559
1,3,B1,80,80,80,80,4E,30:5:719
1,7,F1,86,80,80,80,08,30:5:719
1,0,81,A1,FF,C0,81,61,30:5:830
3,3,B3,C0,80,80,80,0C,30:5:830
2,3,B2,E0,80,80,80,2D,30:5:890
1,5,D1,CA,E4,8F,80,0F,30:5:900
1,5,D1,CA,E5,99,80,18,30:5:900
1,5,D1,CA,E6,AE,80,2C,30:5:910
1,5,D1,CA,E7,80,80,03,30:5:910
1,5,D1,CA,E8,95,80,19,30:5:910
2,0,82,A1,FF,C0,8C,6F,30:5:960
1,7,F1,9F,80,80,80,11,30:5:990
3,0,83,84,96,80,85,6B,30:6:40
10,3,BA,A1,80,80,80,64,30:6:70
1,0,81,84,96,80,81,6D,30:6:330
2,0,82,84,96,80,8C,63,30:6:491
3,0,83,A1,FF,C0,85,67,30:6:541
10,3,BA,A2,80,80,80,67,30:6:571
1,0,81,A1,FF,C0,81,61,30:6:831
2,0,82,A1,FF,C0,8C,6F,30:6:991
1,3,B1,A0,80,80,80,6E,30:7:21
3,0,83,84,96,80,85,6B,30:7:21
3,3,B3,E0,80,80,80,2C,30:7:121
10,3,BA,A3,80,80,80,66,30:7:142
2,3,B2,80,80,80,80,4D,30:7:202
2,7,F2,86,80,80,80,0B,30:7:202
1,0,81,84,96,80,81,6D,30:7:312
2,0,82,84,96,80,8C,63,30:7:472
3,0,83,A1,FF,C0,85,67,30:7:532
10,3,BA,80,80,80,80,45,30:7:552
1,0,81,A1,FF,C0,81,61,30:7:822
2,0,82,A1,FF,C0,8C,6F,30:7:983
3,0,83,84,96,80,85,6B,30:8:43
10,3,BA,A1,80,80,80,64,30:8:63
10,5,DA,F1,80,FF,FF,54,30:8:253
10,5,DA,F2,80,FF,FF,57,30:8:253
10,5,DA,F3,80,FF,FF,56,30:8:263
1,0,81,84,96,80,81,6D,30:8:313
1,3,B1,C0,80,80,80,0E,30:8:313
2,5,D2,CA,E4,90,80,13,30:8:383
2,5,D2,CA,E5,99,80,1B,30:8:383
2,5,D2,CA,E6,AE,80,2F,30:8:383
2,5,D2,CA,E7,80,80,00,30:8:393
2,5,D2,CA,E8,95,80,1A,30:8:403
3,3,B3,80,80,80,80,4C,30:8:453
3,7,F3,86,80,80,80,0A,30:8:453
2,0,82,84,96,80,8C,63,30:8:463
2,3,B2,A0,80,80,80,6D,30:8:463
3,0,83,A1,FF,C0,85,67,30:8:534
2,7,F2,9F,80,80,80,12,30:8:544
10,3,BA,A2,80,80,80,67,30:8:554
1,7,F1,A4,80,81,80,2B,30:8:604
1,0,81,A1,FF,C0,81,61,30:8:834
2,0,82,A1,FF,C0,8C,6F,30:8:984
3,0,83,84,96,80,85,6B,30:9:54
10,3,BA,A3,80,80,80,66,30:9:74
2,7,F2,A4,80,85,80,2C,30:9:285
3,5,D3,CA,E4,8F,80,0D,30:9:345
3,5,D3,CA,E5,99,80,1A,30:9:345
3,5,D3,CA,E6,AD,80,2D,30:9:345
3,5,D3,CA,E7,80,80,01,30:9:355
3,5,D3,CA,E8,95,80,1B,30:9:365
1,0,81,84,96,80,81,6D,30:9:365
3,7,F3,9F,80,80,80,13,30:9:385
2,0,82,84,96,80,8C,63,30:9:505
3,0,83,A1,FF,C0,85,67,30:9:555
10,3,BA,80,80,80,80,45,30:9:585
1,3,B1,E0,80,80,80,2E,30:9:645
3,3,B3,A0,80,80,80,6C,30:9:755
2,3,B2,C0,80,80,80,0D,30:9:825
1,0,81,A1,FF,C0,81,61,30:9:825
2,0,82,A1,FF,C0,8C,6F,30:9:986
3,0,83,84,96,80,85,6B,30:10:36
10,3,BA,A1,80,80,80,64,30:10:56
1,0,81,84,96,80,81,6D,30:10:326
1,5,D1,CA,E4,8F,80,0F,30:10:436
1,5,D1,CA,E5,99,80,18,30:10:436
1,5,D1,CA,E6,AE,80,2C,30:10:446
1,5,D1,CA,E7,80,80,03,30:10:446
1,5,D1,CA,E8,95,80,19,30:10:456
1,7,F1,9F,80,80,80,11,30:10:456
2,0,82,84,96,80,8C,63,30:10:506
3,0,83,A1,FF,C0,85,67,30:10:556
10,3,BA,A2,80,80,80,67,30:10:576
1,0,81,A1,FF,C0,81,61,30:10:857
1,3,B1,80,80,80,80,4E,30:10:967
1,7,F1,86,80,80,80,08,30:10:967
2,0,82,A1,FF,C0,8C,6F,30:11:17
3,0,83,84,96,80,85,6B,30:11:77
3,3,B3,C0,80,80,80,0C,30:11:77
2,3,B2,E0,80,80,80,2D,30:11:87
10,3,BA,A3,80,80,80,66,30:11:97
1,0,81,84,96,80,81,6D,30:11:358
2,0,82,84,96,80,8C,63,30:11:538
