CAR,TYPE,MSG0,MSG1,MSG2,MSG3,MSG4,MSG5,TIME
1,0,81,A0,82,80,81,5D,21:59:753
2,0,82,A0,82,80,81,5E,21:59:753
3,0,83,A0,82,80,81,5F,21:59:763
4,0,84,A0,82,80,81,58,21:59:773
5,0,85,A0,82,80,81,59,21:59:783
6,0,86,A0,82,80,81,5A,21:59:793
7,0,87,A0,82,80,81,5B,21:59:803
8,0,88,A0,82,80,81,54,21:59:813
1,0,81,A0,82,80,82,5E,21:59:823
2,0,82,A0,82,80,82,5D,21:59:833
3,0,83,A0,82,80,82,5C,21:59:873
4,0,84,A0,82,80,82,5B,21:59:873
5,0,85,A0,82,80,82,5A,21:59:873
6,0,86,A0,82,80,82,59,21:59:883
7,0,87,A0,82,80,82,58,21:59:893
8,0,88,A0,82,80,82,57,21:59:903
1,0,81,A0,82,80,83,5F,21:59:913
2,0,82,A0,82,80,83,5C,21:59:923
3,0,83,A0,82,80,83,5D,21:59:933
4,0,84,A0,82,80,83,5A,21:59:943
5,0,85,A0,82,80,83,5B,21:59:953
6,0,86,A0,82,80,83,58,21:59:973
7,0,87,A0,82,80,83,59,21:59:983
8,0,88,A0,82,80,83,56,21:59:993
1,0,81,A0,82,80,84,58,22:0:3
2,0,82,A0,82,80,84,5B,22:0:13
3,0,83,A0,82,80,84,5A,22:0:23
4,0,84,A0,82,80,84,5D,22:0:33
5,0,85,A0,82,80,84,5C,22:0:43
6,0,86,A0,82,80,84,5F,22:0:53
7,0,87,A0,82,80,84,5E,22:0:63
8,0,88,A0,82,80,84,51,22:0:84
1,0,81,A0,82,80,85,59,22:0:94
2,0,82,A0,82,80,85,5A,22:0:104
3,0,83,A0,82,80,85,5B,22:0:114
4,0,84,A0,82,80,85,5C,22:0:124
5,0,85,A0,82,80,85,5D,22:0:134
6,0,86,A0,82,80,85,5E,22:0:144
7,0,87,A0,82,80,85,5F,22:0:154
8,0,88,A0,82,80,85,50,22:0:164
1,0,81,A0,82,80,86,5A,22:0:174
2,0,82,A0,82,80,86,59,22:0:184
3,0,83,A0,82,80,86,58,22:0:204
4,0,84,A0,82,80,86,5F,22:0:214
5,0,85,A0,82,80,86,5E,22:0:224
6,0,86,A0,82,80,86,5D,22:0:234
7,0,87,A0,82,80,86,5C,22:0:244
8,0,88,A0,82,80,86,53,22:0:254
1,0,81,A0,82,80,87,5B,22:0:264
2,0,82,A0,82,80,87,58,22:0:274
3,0,83,A0,82,80,87,59,22:0:284
4,0,84,A0,82,80,87,5E,22:0:294
5,0,85,A0,82,80,87,5F,22:0:304
6,0,86,A0,82,80,87,5C,22:0:324
7,0,87,A0,82,80,87,5D,22:0:334
8,0,88,A0,82,80,87,52,22:0:344
1,0,81,A0,82,80,88,54,22:0:354
2,0,82,A0,82,80,88,57,22:0:364
3,0,83,A0,82,80,88,56,22:0:374
4,0,84,A0,82,80,88,51,22:0:384
5,0,85,A0,82,80,88,50,22:0:394
6,0,86,A0,82,80,88,53,22:0:404
7,0,87,A0,82,80,88,52,22:0:414
8,0,88,A0,82,80,88,5D,22:0:424
1,0,81,A0,82,80,89,55,22:0:444
2,0,82,A0,82,80,89,56,22:0:454
3,0,83,A0,82,80,89,57,22:0:464
4,0,84,A0,82,80,89,50,22:0:474
5,0,85,A0,82,80,89,51,22:0:484
6,0,86,A0,82,80,89,52,22:0:494
7,0,87,A0,82,80,89,53,22:0:504
8,0,88,A0,82,80,89,5C,22:0:514
1,0,81,A0,82,80,8A,56,22:0:524
2,0,82,A0,82,80,8A,55,22:0:534
3,0,83,A0,82,80,8A,54,22:0:544
4,0,84,A0,82,80,8A,53,22:0:564
5,0,85,A0,82,80,8A,52,22:0:574
6,0,86,A0,82,80,8A,51,22:0:584
7,0,87,A0,82,80,8A,50,22:0:594
8,0,88,A0,82,80,8A,5F,22:0:604
1,0,81,A0,82,80,8B,57,22:0:614
2,0,82,A0,82,80,8B,54,22:0:624
3,0,83,A0,82,80,8B,55,22:0:634
4,0,84,A0,82,80,8B,52,22:0:644
5,0,85,A0,82,80,8B,53,22:0:654
6,0,86,A0,82,80,8B,50,22:0:664
7,0,87,A0,82,80,8B,51,22:0:684
8,0,88,A0,82,80,8B,5E,22:0:694
1,0,81,A0,82,80,8C,50,22:0:704
2,0,82,A0,82,80,8C,53,22:0:714
3,0,83,A0,82,80,8C,52,22:0:724
4,0,84,A0,82,80,8C,55,22:0:734
5,0,85,A0,82,80,8C,54,22:0:744
6,0,86,A0,82,80,8C,57,22:0:754
7,0,87,A0,82,80,8C,56,22:0:764
8,0,88,A0,82,80,8C,59,22:0:775
1,0,81,A0,82,80,8D,51,22:0:785
2,0,82,A0,82,80,8D,52,22:0:805
3,0,83,A0,82,80,8D,53,22:0:815
4,0,84,A0,82,80,8D,54,22:0:825
5,0,85,A0,82,80,8D,55,22:0:835
6,0,86,A0,82,80,8D,56,22:0:845
7,0,87,A0,82,80,8D,57,22:0:855
8,0,88,A0,82,80,8D,58,22:0:865
1,0,81,A0,82,80,8E,52,22:0:875
2,0,82,A0,82,80,8E,51,22:0:885
3,0,83,A0,82,80,8E,50,22:0:905
4,0,84,A0,82,80,8E,57,22:0:915
5,0,85,A0,82,80,8E,56,22:0:925
6,0,86,A0,82,80,8E,55,22:0:935
7,0,87,A0,82,80,8E,54,22:0:945
8,0,88,A0,82,80,8E,5B,22:0:955
1,0,81,A0,82,80,8F,53,22:0:965
2,0,82,A0,82,80,8F,50,22:0:975
3,0,83,A0,82,80,8F,51,22:0:985
4,0,84,A0,82,80,8F,56,22:0:995
5,0,85,A0,82,80,8F,57,22:1:5
6,0,86,A0,82,80,8F,54,22:1:15
7,0,87,A0,82,80,8F,55,22:1:25
8,0,88,A0,82,80,8F,5A,22:1:45
1,0,81,A0,82,80,90,4C,22:1:55
2,0,82,A0,82,80,90,4F,22:1:65
3,0,83,A0,82,80,90,4E,22:1:75
4,0,84,A0,82,80,90,49,22:1:85
5,0,85,A0,82,80,90,48,22:1:95
6,0,86,A0,82,80,90,4B,22:1:105
7,0,87,A0,82,80,90,4A,22:1:115
8,0,88,A0,82,80,90,45,22:1:125
1,0,81,A0,82,80,91,4D,22:1:135
2,0,82,A0,82,80,91,4E,22:1:145
3,0,83,A0,82,80,91,4F,22:1:165
4,0,84,A0,82,80,91,48,22:1:175
5,0,85,A0,82,80,91,49,22:1:185
6,0,86,A0,82,80,91,4A,22:1:195
7,0,87,A0,82,80,91,4B,22:1:205
8,0,88,A0,82,80,91,44,22:1:215
1,0,81,A0,82,80,92,4E,22:1:225
2,0,82,A0,82,80,92,4D,22:1:235
3,0,83,A0,82,80,92,4C,22:1:245
4,0,84,A0,82,80,92,4B,22:1:255
5,0,85,A0,82,80,92,4A,22:1:265
6,0,86,A0,82,80,92,49,22:1:275
7,0,87,A0,82,80,92,48,22:1:295
8,0,88,A0,82,80,92,47,22:1:305
1,0,81,A0,82,80,93,4F,22:1:315
2,0,82,A0,82,80,93,4C,22:1:325
3,0,83,A0,82,80,93,4D,22:1:335
4,0,84,A0,82,80,93,4A,22:1:345
5,0,85,A0,82,80,93,4B,22:1:355
6,0,86,A0,82,80,93,48,22:1:365
7,0,87,A0,82,80,93,49,22:1:375
8,0,88,A0,82,80,93,46,22:1:385
1,0,81,A0,82,80,94,48,22:1:405
2,0,82,A0,82,80,94,4B,22:1:415
3,0,83,A0,82,80,94,4A,22:1:425
4,0,84,A0,82,80,94,4D,22:1:435
5,0,85,A0,82,80,94,4C,22:1:445
6,0,86,A0,82,80,94,4F,22:1:455
7,0,87,A0,82,80,94,4E,22:1:465
8,0,88,A0,82,80,94,41,22:1:476
1,0,81,A0,82,80,95,49,22:1:486
2,0,82,A0,82,80,95,4A,22:1:496
3,0,83,A0,82,80,95,4B,22:1:516
4,0,84,A0,82,80,95,4C,22:1:526
5,0,85,A0,82,80,95,4D,22:1:536
6,0,86,A0,82,80,95,4E,22:1:546
7,0,87,A0,82,80,95,4F,22:1:556
